country,2021 Average NO2 (molec/cm^2),Uncertainty (%),Change since 2005 (%)
Ireland,1467000000000000.0,9.65,-29.5891
Israel,2615000000000000.0,6.6,-34.791
Italy,2125000000000000.0,5.51,-50.2306
Italy,4900000000000000.0,7.12,-44.5899
Italy,7175000000000000.0,6.34,-51.8521
Italy,2479000000000000.0,6.97,-39.7403
Jamaica,903300000000000.0,6.18,-21.1859
Japan,2838000000000000.0,7.72,-40.9573
Japan,9942000000000000.0,5.54,-54.1371
Japan,5781000000000000.0,5.96,-49.4029
Japan,1865000000000000.0,9.36,-16.5942
Japan,7044000000000000.0,5.83,-47.4775
Japan,5361000000000000.0,5.38,-47.9186
Kampala,892800000000000.0,8.0,-5.95973
Kazakhstan,1257000000000000.0,12.05,14.202
Kenya,818600000000000.0,10.27,0.852284
Kuwait,6288000000000000.0,6.56,-0.157902
Kyrgystan,1787000000000000.0,9.71,44.0333
Laos,1616000000000000.0,13.15,13.8586
Latvia,1178000000000000.0,12.44,1.77816
Lebanon,5304000000000000.0,15.91,101.743
Lesotho,934000000000000.0,8.92,-6.82905
Libya,2045000000000000.0,6.11,-8.36294
Lithuania,1499000000000000.0,15.24,12.7821
Madagascar,844100000000000.0,10.71,31.8502
Malawi,1259000000000000.0,8.83,5.44557
Malaysia,2597000000000000.0,8.55,-14.8338
Mali,1131000000000000.0,10.48,29.3305
Mauritania,701200000000000.0,6.69,14.6329
Mexico,1643000000000000.0,5.92,-15.0252
Mexico,1333000000000000.0,7.45,2.99974
Mexico,1059000000000000.0,9.3,3.5797
Mexico,6082000000000000.0,6.7,-43.0073
Mexico,4710000000000000.0,7.13,0.291896
Mexico,1850000000000000.0,6.54,5.74516
Mexico,718800000000000.0,8.24,-2.64028
Mexico,2616000000000000.0,6.49,-16.6544
Mongolia,1389000000000000.0,8.11,23.5846
Morocco,1929000000000000.0,7.98,15.3008
Myanmar,1085000000000000.0,10.34,48.8024
Namibia,552400000000000.0,10.67,6.78189
Nepal,2679000000000000.0,12.57,45.0132
Nepal,1905000000000000.0,12.93,47.365
Netherlands,4507000000000000.0,10.48,-29.2377
New Zealand,845800000000000.0,7.95,-28.2548
New Zealand,683900000000000.0,8.38,3.20903
Nicaragua,758600000000000.0,5.93,-4.79683
Niger,836300000000000.0,8.98,27.923
Nigeria,1303000000000000.0,9.31,28.6913
Nigeria,1267000000000000.0,14.67,32.3726
North Korea,3225000000000000.0,11.21,14.9493
Northern Ireland,1514000000000000.0,9.08,-36.5319
Norway,1560000000000000.0,9.34,-31.1152
Oman,1944000000000000.0,6.71,-8.00679
Pakistan,910500000000000.0,7.53,19.6999
Pakistan,5821000000000000.0,16.12,19.5264
Pakistan,2588000000000000.0,10.11,45.222
Pakistan,3300000000000000.0,9.95,9.07154
Pakistan,2057000000000000.0,5.89,4.24101
Pakistan,4221000000000000.0,16.22,65.3816
Papua New Guinea,373800000000000.0,12.69,51.4129
Paraguay,994300000000000.0,15.54,11.4349
Peru,2658000000000000.0,8.93,18.6796
Philippines,1734000000000000.0,6.59,7.59801
Poland,3147000000000000.0,15.74,-22.3984
Portugal,1879000000000000.0,7.06,-42.272
Rep. of Congo,1227000000000000.0,20.2,14.3852
Romania,2637000000000000.0,6.84,-15.1587
Russia,7810000000000000.0,12.04,-47.3084
Russia,3498000000000000.0,9.09,-25.1631
Russia,2218000000000000.0,12.07,-4.59428
Saudi Arabia,2827000000000000.0,8.06,-14.4173
Saudi Arabia,6853000000000000.0,8.81,-29.7858
Scotland,1582000000000000.0,12.03,-41.6188
Scotland,1324000000000000.0,8.75,-33.6171
Scotland,1865000000000000.0,8.98,-49.9464
Senegal,1127000000000000.0,12.25,72.5362
Serbia,3316000000000000.0,8.79,-15.7182
Singapore,3779000000000000.0,7.18,-22.1299
South Africa,2071000000000000.0,7.3,-22.6756
South Africa,5721000000000000.0,11.87,-16.7508
South Africa,1213000000000000.0,6.61,-25.0312
South Korea,1.136e+16,8.72,-34.4492
South Korea,5610000000000000.0,7.49,-23.2944
South Korea,5830000000000000.0,7.29,-26.8151
South Korea,5398000000000000.0,12.49,-3.38298
Spain,3227000000000000.0,6.09,-56.8119
Spain,3176000000000000.0,5.34,-54.2173
Sri Lanka,834300000000000.0,12.94,-0.915646
Sudan,1365000000000000.0,5.95,29.1918
Suriname,230900000000000.0,9.92,14.3895
Sweden,1507000000000000.0,7.28,-25.4325
Switzerland,2811000000000000.0,9.22,-28.7843
Syria,2482000000000000.0,7.96,8.55492
Syria,2227000000000000.0,7.01,-31.1492
Syria,1754000000000000.0,9.11,-36.1157
Taiwan,3532000000000000.0,6.35,-37.5971
Tajikistan,2234000000000000.0,11.31,57.992
Tanzania,758200000000000.0,12.82,8.66165
Tasmania,424800000000000.0,11.39,-0.102607
Thailand,3883000000000000.0,10.81,-17.1219
Togo,710300000000000.0,11.63,18.1017
Tunisia,796200000000000.0,6.34,17.4719
Turkey,3513000000000000.0,11.54,-2.07372
Turkey,5227000000000000.0,9.52,-16.4734
Turkey,2352000000000000.0,11.44,65.6725
Turkmenistan,2382000000000000.0,10.28,47.3574
U.A.E.,3299000000000000.0,9.85,8.17124
UAE,7148000000000000.0,7.45,-17.2918
Ukraine,1594000000000000.0,9.32,-0.90716
Ukraine,1975000000000000.0,7.55,-36.7918
Ukraine,2851000000000000.0,11.26,-37.7126
Ukraine,2503000000000000.0,13.41,-20.7838
