"Density
(P/Km2)",Birth Rate,Co2-Emissions,Fertility Rate,Forested Area (%),Gasoline Price,GDP,Gross primary education enrollment (%),Gross tertiary education enrollment (%),Infant mortality,Maternal mortality ratio,Minimum wage,Out of pocket health expenditure,Physicians per thousand,Population,Population: Labor force participation (%),Urban_population,Life Expectancy at Birth (2021)
93,29.08,190061,3.67,1.90,0.61 ,234094042939 ,108.70,16.20,22.5,79.0,1.24 ,76.50,0.71,39309783,43.00,27783368,70.3779
400,20.8,65166,3.09,7.70,1.57 ,395098666122 ,104.90,63.40,3.0,3.0,7.58 ,24.40,4.62,9053300,64.00,8374393,82.255
273,16.1,8225,1.98,30.90,1.11 ,16458071068 ,91.00,27.10,12.4,80.0,1.33 ,23.70,1.31,2948279,66.00,1650594,70.5003
115,21.98,25108,2.76,1.10,1.10 ,43743661972 ,81.50,34.40,13.9,46.0,1.49 ,25.10,2.32,10101694,39.30,9213048,74.2563
7,21.77,247207,2.84,1.20,0.42 ,180161741180 ,104.40,61.70,8.8,10.0,0.41 ,38.80,3.25,18513930,68.80,10652915,69.3622
94,28.75,17910,3.49,7.80,0.95 ,95503088538 ,103.20,11.50,30.6,342.0,0.25 ,33.40,0.16,52573973,74.70,14461523,61.427
240,13.94,98734,2.08,0.40,0.35 ,134761198946 ,92.40,54.40,6.7,12.0,0.95 ,14.40,2.58,4207083,73.50,4207083,78.6729
34,27.1,9787,3.3,3.30,0.56 ,8454619608 ,107.60,41.30,16.9,60.0,0.09 ,48.20,1.88,6456900,59.80,2362644,69.9774
30,10.0,7004,1.6,54.00,1.16 ,34117202555 ,99.40,88.10,3.3,19.0,2.80 ,41.60,3.19,1912789,61.40,1304943,73.5786
667,17.55,24796,2.09,13.40,0.74 ,53367042272 ,95.10,26.30,6.4,29.0,2.15 ,32.10,2.1,6855713,47.00,6084994,75.0472
43,10.0,12963,1.63,34.80,1.16 ,54219315600 ,103.90,72.40,3.3,8.0,2.41 ,32.10,6.35,2786844,61.60,1891013,73.7201
242,10.3,8988,1.37,35.70,1.19 ,71104919108 ,102.30,19.20,1.9,5.0,13.05 ,10.60,3.01,645397,59.30,565488,82.6287
48,32.66,3905,4.08,21.40,1.11 ,14083906357 ,142.50,5.40,38.2,335.0,0.21 ,21.70,0.18,26969307,86.10,10210849,64.4853
203,34.12,1298,4.21,33.20,1.15 ,7666704427 ,142.50,0.80,35.3,349.0,0.12 ,11.00,0.04,18628747,76.70,3199301,62.9044
99,16.75,248289,2.0,67.60,0.45 ,364701517788 ,105.30,45.10,6.7,29.0,0.93 ,36.70,1.51,32447385,64.30,24475766,74.8839
17,41.54,3179,5.88,3.80,1.12 ,17510141171 ,75.60,4.50,62.0,562.0,0.23 ,46.30,0.13,19658031,70.80,8479688,58.9414
1380,9.2,1342,1.23,1.10,1.36 ,14786156563 ,105.00,54.30,6.1,6.0,5.07 ,37.10,2.86,502653,56.50,475902,83.7769
626,10.2,4349,1.41,19.00,1.12 ,14180444557 ,101.10,40.60,13.6,61.0,0.38 ,50.70,2.53,1265711,58.30,515980,73.5552
123,10.1,5115,1.26,12.60,0.80 ,11955435457 ,90.60,39.80,13.6,19.0,0.31 ,46.20,3.21,2657637,43.10,1135502,68.8459
2,24.13,25368,2.9,8.00,0.72 ,13852850259 ,104.00,65.60,14.0,45.0,0.65 ,39.30,2.86,3225167,59.70,2210626,70.9754
83,18.94,61276,2.42,12.60,0.99 ,118725279596 ,113.90,35.90,19.2,70.0,1.60 ,53.10,0.73,36910560,45.30,22975026,74.0419
40,37.52,7943,4.85,48.00,0.65 ,14934159926 ,112.60,7.30,54.0,289.0,0.27 ,6.80,0.08,30366036,78.10,11092106,59.3247
83,17.55,25280,2.15,43.60,0.54 ,76085852617 ,112.30,18.80,36.8,250.0,0.39 ,73.90,0.68,54045420,61.70,16674093,65.6716
203,19.89,9105,1.92,25.40,0.91 ,30641380604 ,142.10,12.40,26.7,186.0,0.36 ,60.40,0.75,28608710,83.80,5765513,68.4495
